annotation,b_number,complex,gene_name,n_copies
L-ascorbate-6-phosphate lactonase,b4192,CPLX0-7848,yjfr,6.0
curli secretion and assembly complex,b1039,CPLX-3945,csge,9.0
curli secretion and assembly complex,b1037,CPLX-3945,csgg,9.0
malate dehydrogenase,b3236,MALATE-DEHASE,mdh,2.0
iron-sulfur cluster insertion protein IscA,b2528,CPLX0-7908,isca,4.0
HslV hexamer,b3932,CPLX0-1162,clpq,6.0
NADH:quinone oxidoreductase I,b2288,NADH-DHI-CPLX,nuoa,1.0
NADH:quinone oxidoreductase I,b2282,NADH-DHI-CPLX,nuoh,1.0
NADH:quinone oxidoreductase I,b2280,NADH-DHI-CPLX,nuoj,1.0
NADH:quinone oxidoreductase I,b2279,NADH-DHI-CPLX,nuok,1.0
NADH:quinone oxidoreductase I,b2278,NADH-DHI-CPLX,nuol,1.0
NADH:quinone oxidoreductase I,b2288,NADH-DHI-CPLX,nuoa,1.0
NADH:quinone oxidoreductase I,b2276,NADH-DHI-CPLX,nuon,1.0
NADH:quinone oxidoreductase I,b2281,NADH-DHI-CPLX,nuoi,1.0
NADH:quinone oxidoreductase I,b2283,NADH-DHI-CPLX,nuog,1.0
NADH:quinone oxidoreductase I,b2284,NADH-DHI-CPLX,nuof,1.0
NADH:quinone oxidoreductase I,b2285,NADH-DHI-CPLX,nuoe,1.0
NADH:quinone oxidoreductase I,b2286,NADH-DHI-CPLX,nuod,1.0
NADH:quinone oxidoreductase I,b2287,NADH-DHI-CPLX,nuob,1.0
FtsLBQ cell division complex,b0093,CPLX0-7934,ftsq,1.0
FtsLBQ cell division complex,b2748,CPLX0-7934,ftsb,1.0
FtsLBQ cell division complex,b0083,CPLX0-7934,yabd,1.0
RNase G,b3247,CPLX0-1621,adhr,2.0
ornithine carbamoyltransferase,b0273,ORNCARBAMTRANSFERF-CPLX,argf,3.0
"selenide, water dikinase",b1764,CPLX0-7957,fdhb,2.0
fructose-6-phosphate aldolase 1,b0825,CPLX0-201,ybiz,10.0
DNA-binding transcriptional repressor PurR,b1658,PC00033,purr,2.0
small conductance mechanosensitive channel YnaI,b1330,CPLX0-7982,ynai,7.0
arylamine <i>N</i>-acetyltransferase,b1463,CPLX0-236,nhoa,2.0
phosphatidylserine decarboxylase,[],PHOSPHASERDECARB-DIMER,psdb,1.0
phosphatidylserine decarboxylase,[],PHOSPHASERDECARB-DIMER,psda,1.0
enoyl-[acyl-carrier-protein] reductase,b1288,CPLX0-8006,gts,4.0
L-cysteine desulfurase,b1680,CPLX0-246,csdb,2.0
polyphosphate kinase,b2501,PPK-CPLX,ppk,2.0
molybdopterin-guanine dinucleotide biosynthesis adaptor protein,b3856,CPLX0-8044,yihc,2.0
ClpXP protease specificity-enhancing factor,b3228,CPLX0-2681,sspb,2.0
exodeoxyribonuclease V,b2819,RECBCD,hope,1.0
exodeoxyribonuclease V,b2822,RECBCD,recc,1.0
exodeoxyribonuclease V,b2820,RECBCD,ior,1.0
small heat shock protein IbpB homodimer,b3686,CPLX0-8107,hsls,2.0
ClpP serine protease,b0437,CPLX0-3101,lopp,14.0
spermidine <i>N</i>-acetyltransferase,b1584,SPERMACTRAN-CPLX,speg,4.0
cystine ABC transporter,b1917,CPLX0-8152,tcyn,2.0
cystine ABC transporter,b1918,CPLX0-8152,tcyl,2.0
cystine ABC transporter,b1920,CPLX0-8152,tcyj,1.0
fimbrial complex,b4314,CPLX0-3401,pila,1.0
fimbrial complex,b4318,CPLX0-3401,fimf,1.0
fimbrial complex,b4319,CPLX0-3401,fimg,1.0
fimbrial complex,b4320,CPLX0-3401,pile,1.0
threonine deaminase,b3772,THREDEHYDSYN-CPLX,ile,4.0
tRNA threonylcarbamoyladenosine dehydratase,b2812,CPLX0-8176,tcda,2.0
glutamyl-tRNA reductase,b1210,CPLX0-3741,gtra,2.0
tryptophan synthase,b1260,TRYPSYN,try,2.0
tryptophan synthase,b1261,TRYPSYN,trpb,2.0
lipoprotein NlpI,b3163,CPLX0-8198,yhbm,2.0
putative monooxygenase YdhR,b1667,CPLX0-3923,ydhr,2.0
diguanylate cyclase DosC,b1490,CPLX0-8218,dgco,2.0
XTPase,b4394,CPLX0-3948,yjjx,2.0
regulator of CsrB and CsrC decay,b3252,CPLX0-8245,yhda,4.0
aromatic carboxylic acid efflux pump,b3241,CPLX0-4,aaea,1.0
aromatic carboxylic acid efflux pump,b3240,CPLX0-4,aaeb,1.0
flagellar motor switch complex,b1939,CPLX0-7450,flig,26.0
flagellar motor switch complex,b1945,CPLX0-7450,flaa,34.0
flagellar motor switch complex,b1946,CPLX0-7450,motd,1.0
iron(III) hydroxamate ABC transporter,b0151,ABC-11-CPLX,fhuc,2.0
iron(III) hydroxamate ABC transporter,b0153,ABC-11-CPLX,fhub,1.0
iron(III) hydroxamate ABC transporter,b0152,ABC-11-CPLX,fhud,1.0
Ubi complex,b3042,CPLX0-8301,ubik,1.0
Ubi complex,b3834,CPLX0-8301,ubij,1.0
Ubi complex,b2906,CPLX0-8301,ubii,1.0
Ubi complex,b2907,CPLX0-8301,acd,1.0
Ubi complex,b2232,CPLX0-8301,pufx,1.0
Ubi complex,b0662,CPLX0-8301,yleb,1.0
Ubi complex,b3833,CPLX0-8301,yigo,1.0
cell division protein ZapA,b2910,CPLX0-7538,zapa,4.0
phosphate ABC transporter,b3725,ABC-27-CPLX,pstb,2.0
phosphate ABC transporter,b3726,ABC-27-CPLX,psta,1.0
phosphate ABC transporter,b3727,ABC-27-CPLX,pstc,1.0
phosphate ABC transporter,b3728,ABC-27-CPLX,psts,1.0
NMN amidohydrolase,b2700,CPLXECOLI-7943,pncc,2.0
dCMP phosphohydrolase,b2291,CPLX0-7625,yfbr,2.0
glutathione ABC transporter,b0829,ABC-49-CPLX,gsia,1.0
glutathione ABC transporter,b0830,ABC-49-CPLX,gsib,1.0
glutathione ABC transporter,b0832,ABC-49-CPLX,gsid,1.0
glutathione ABC transporter,b0831,ABC-49-CPLX,gsic,1.0
dethiobiotin synthetase,b0778,DETHIOBIOTIN-SYN-CPLX,biod,2.0
L-rhamnose mutarotase,b3901,CPLX0-7649,yiil,2.0
thiosulfate/sulfate ABC transporter,b2422,ABC-7-CPLX,cysa,2.0
thiosulfate/sulfate ABC transporter,b2423,ABC-7-CPLX,cysw,1.0
thiosulfate/sulfate ABC transporter,b2424,ABC-7-CPLX,cysu,1.0
thiosulfate/sulfate ABC transporter,b2425,ABC-7-CPLX,cysp,1.0
dUTP diphosphatase,b3640,DUTP-PYROP-CPLX,sof,3.0
2Fe-2S cluster-containing protein YeaW,b1802,CPLX0-7675,yeaw,3.0
cysteine synthase B,b2421,ACSERLYB-CPLX,cysm,2.0
ATP synthase F<sub>0</sub> complex,b3737,F-O-CPLX,unce,10.0
ATP synthase F<sub>0</sub> complex,b3736,F-O-CPLX,uncf,2.0
ATP synthase F<sub>0</sub> complex,b3738,F-O-CPLX,uncb,1.0
MukEF complex,b0923,CPLX0-7697,ycba,4.0
MukEF complex,b0922,CPLX0-7697,kicb,2.0
&alpha;-galactosidase,b4119,ALPHAGALACTOSID-CPLX,mela,2.0
hydrogenase 1,b0972,FORMHYDROGI-CPLX,hyaa,2.0
hydrogenase 1,b0973,FORMHYDROGI-CPLX,hyab,2.0
hydrogenase 1,b0974,FORMHYDROGI-CPLX,cybh,1.0
L-rhamnonate dehydratase,b2247,CPLX0-7722,rhmd,8.0
3-deoxy-7-phosphoheptulonate synthase,b2601,AROF-CPLX,arof,2.0
sensory histidine kinase NtrB,b3869,GLNL-CPLX,glnl,2.0
CpxR-P<sup>asp</sup> DNA-binding transcriptional dual regulator,b3912,CPLX0-7748,cpxr response regulator - phosphorylated,2.0
&beta; complex,b2222,ATOA-CPLX,atoa,2.0
"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase",b3945,GLYCDEH-CPLX,glda,8.0
MetJ-S-adenosylmethionine DNA-binding transcriptional repressor,b3938,CPLX0-7796,metj,2.0
carbonic anhydrase 1,b0339,CARBODEHYDRAT-CPLX,cynt,2.0
dihydropteroate synthase,b3177,H2PTEROATESYNTH-CPLX,dhps,2.0
DosC-DosP complex,b1489,CPLX0-7823,pdeo,1.0
DosC-DosP complex,b1490,CPLX0-7823,dgco,1.0
glucose-specific PTS enzyme II,b1101,CPLX-157,ptsg,2.0
glucose-specific PTS enzyme II,b2417,CPLX-157,crr,1.0
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase,b1215,KDO-8PSYNTH-CPLX,kdsa,4.0
Der GTPase-activating protein YihI,b3866,CPLX0-7853,yihi,2.0
arsenite/antimonite:H<sup>+</sup> antiporter,b3502,CPLX-7,arsf,2.0
NADP<sup>+</sup>-dependent malate dehydrogenase,b2463,MALIC-NADP-CPLX,ypff,6.0
phosphate acetyltransferase EutD,b2458,CPLX0-7912,ypfa,2.0
MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity,b2782,CPLX0-1241,mazf,2.0
periplasmic nitrate reductase,b2203,NAP-CPLX,yejy,1.0
periplasmic nitrate reductase,b2206,NAP-CPLX,yoje,1.0
PTS enzyme I,b2415,CPLX0-7938,ctr,2.0
adenine deaminase,b3665,CPLX0-1683,aded,2.0
"ornithine decarboxylase, degradative",b0693,ORNDECARBOXDEG-CPLX,spef,2.0
protein/nucleic acid deglycase 3,b0424,CPLX0-7960,yajl,2.0
dihydroxyacetone kinase,b1200,CPLX0-2081,ycgt,2.0
dihydroxyacetone kinase,b1199,CPLX0-2081,ycgs,2.0
dihydroxyacetone kinase,b1198,CPLX0-2081,dham,2.0
RcsAB DNA-binding transcriptional dual regulator,b2217,PC00084,rcsb,1.0
RcsAB DNA-binding transcriptional dual regulator,b1951,PC00084,cpsr,1.0
miniconductance mechanosensitive channel MscM,b4159,CPLX0-7985,yjep,7.0
argininosuccinate synthetase,b3172,CPLX0-238,argg,4.0
periplasmic acid stress chaperone HdeA,b3510,CPLX0-801,yhhc,2.0
molybdopterin synthase,b0784,CPLX0-2502,chlm,2.0
molybdopterin synthase,b0785,CPLX0-2502,moae,2.0
proline&mdash;tRNA ligase,b0194,PROS-CPLX,drpa,2.0
Lon protease,b0439,CPLX0-2881,muc,6.0
ribose-5-phosphate isomerase A,b2914,RIB5PISOMA-CPLX,ygfc,2.0
molybdenum cofactor insertion chaperone PaoD,b0283,CPLX0-8110,paod,2.0
ClpXP,b0437,CPLX0-3107,lopp,14.0
ClpXP,b0438,CPLX0-3107,lopc,12.0
succinyl-CoA synthetase,b0729,SUCCCOASYN,sucd,2.0
succinyl-CoA synthetase,b0728,SUCCCOASYN,succ,2.0
Xaa-Pro dipeptidase,b3847,CPLX0-8156,pepq,2.0
aldehyde dehydrogenase B,b3588,CPLX0-3482,yiax,4.0
thymidylate synthase,b2827,THYMIDYLATESYN-CPLX,thya,2.0
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit",b1807,CPLX0-8181,tsab,1.0
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit",b3064,CPLX0-8181,tsad,1.0
tyrosine&mdash;tRNA ligase,b1637,TYRS-CPLX,tyrs,2.0
glutarate hydroxylase GlaH,b2659,CPLX0-8201,glah,4.0
regulatory ATPase RavA,b3746,CPLX0-3927,yien,6.0
FicT-FicA complex,b3361,CPLX0-8227,fict,1.0
FicT-FicA complex,b3362,CPLX0-8227,fica,1.0
peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB,[],CPLX0-3951,pbp1ba,2.0
5-oxoprolinase,b0712,CPLX0-8249,pxpc,1.0
5-oxoprolinase,b0711,CPLX0-8249,pxpb,1.0
5-oxoprolinase,b0713,CPLX0-8249,pxpa,1.0
N-acetylmuramic acid-specific PTS enzyme II,b2429,CPLX0-7,murp,1.0
N-acetylmuramic acid-specific PTS enzyme II,b2417,CPLX0-7,crr,1.0
F<sup>-</sup> channel,b0624,CPLX0-8271,ybei,2.0
glycolate dehydrogenase,b2979,CPLX0-7458,yghm,1.0
glycolate dehydrogenase,b2979,CPLX0-7458,gox,1.0
glycolate dehydrogenase,b4468,CPLX0-7458,yghl,1.0
histidine ABC transporter,b2306,ABC-14-CPLX,hisp,2.0
histidine ABC transporter,b2307,ABC-14-CPLX,hism,1.0
histidine ABC transporter,b2308,ABC-14-CPLX,hisq,1.0
histidine ABC transporter,b2309,ABC-14-CPLX,hisj,1.0
DcuS-DcuB sensor complex,b4123,CPLX0-8304,genf,1.0
DcuS-DcuB sensor complex,b4125,CPLX0-8304,yjdh,1.0
5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,b3741,CPLX0-7597,gida,2.0
lysine / arginine / ornithine ABC transporter,b2308,ABC-3-CPLX,hisq,1.0
lysine / arginine / ornithine ABC transporter,b2306,ABC-3-CPLX,hisp,2.0
lysine / arginine / ornithine ABC transporter,b2307,ABC-3-CPLX,hism,1.0
lysine / arginine / ornithine ABC transporter,b2310,ABC-3-CPLX,argt,1.0
cyanase,b0340,CYANLY-CPLX,cnt,10.0
lipopolysaccharide transport system - outer membrane assembly complex,b0054,CPLX0-7628,lptd,1.0
lipopolysaccharide transport system - outer membrane assembly complex,b0641,CPLX0-7628,lpte,1.0
"putative transport complex, ABC superfamily",b3271,ABC-52-CPLX,yhdz,1.0
"putative transport complex, ABC superfamily",b3270,ABC-52-CPLX,yhdy,1.0
"putative transport complex, ABC superfamily",b3269,ABC-52-CPLX,yhdx,1.0
diacylglycerol kinase,b4042,DIACYLGLYKIN-CPLX,dgka,3.0
glycerol facilitator,b3927,CPLX0-7654,glpf,4.0
ferric citrate ABC transporter,b4287,ABC-9-CPLX,fece,2.0
ferric citrate ABC transporter,b4289,ABC-9-CPLX,fecc,1.0
ferric citrate ABC transporter,b4288,ABC-9-CPLX,fecd,1.0
ferric citrate ABC transporter,b4290,ABC-9-CPLX,fecb,1.0
pyruvate dehydrogenase,b0114,E1P-CPLX,acee,2.0
iron-sulfur cluster carrier protein NfuA,b3414,CPLX0-7682,yhgi,2.0
adenine phosphoribosyltransferase,b0469,ADENPRIBOSYLTRAN-CPLX,apt,2.0
&beta;-ketoacyl-[acyl carrier protein] synthase I,b2323,FABB-CPLX,fabc,2.0
DNA-binding transcriptional dual regulator Fis,b3261,CPLX0-7705,fis,2.0
anaerobic glycerol-3-phosphate dehydrogenase,b2241,ANGLYC3PDEHYDROG-CPLX,glpa,1.0
anaerobic glycerol-3-phosphate dehydrogenase,b2242,ANGLYC3PDEHYDROG-CPLX,glpb,1.0
anaerobic glycerol-3-phosphate dehydrogenase,b2243,ANGLYC3PDEHYDROG-CPLX,glpc,1.0
fructose-bisphosphate aldolase class II,b2925,FRUCBISALD-CLASSII,fda,2.0
CRISPR-associated complex for antiviral defense,b2760,CPLX0-7725,ygcl,1.0
CRISPR-associated complex for antiviral defense,b2759,CPLX0-7725,ygck,2.0
CRISPR-associated complex for antiviral defense,b2758,CPLX0-7725,ygcj,6.0
CRISPR-associated complex for antiviral defense,b2757,CPLX0-7725,ygci,1.0
CRISPR-associated complex for antiviral defense,b2756,CPLX0-7725,ygch,1.0
asparagine&mdash;tRNA ligase,b0930,ASNS-CPLX,tss,2.0
glucosamine-6-phosphate deaminase,b0678,GLUCOSAMINE-6-P-DEAMIN-CPLX,glmd,6.0
DNA-binding transcriptional repressor NsrR,b4178,CPLX0-7756,nsrr,2.0
K<sup>+</sup> transporting P-type ATPase,b4513,ATPASE-1-CPLX,kdpf,1.0
K<sup>+</sup> transporting P-type ATPase,b0698,ATPASE-1-CPLX,kdpa,1.0
K<sup>+</sup> transporting P-type ATPase,b0697,ATPASE-1-CPLX,kdpb,1.0
K<sup>+</sup> transporting P-type ATPase,b0696,ATPASE-1-CPLX,kdpc,1.0
"glycerophosphoryl diester phosphodiesterase, periplasmic",b2239,GLYCPDIESTER-PERI-CPLX,glpq,2.0
diguanylate cyclase DgcZ,b1535,CPLX0-7802,dgcz,2.0
cyclopropane fatty acyl phospholipid synthase,b1661,CFA-CPLX,cfa,2.0
histidinal dehydrogenase,b2020,HISTDEHYD-CPLX,hisd,2.0
carboxylate-amine ligase,b0581,CPLX0-7827,ybdk,2.0
putative PTS enzyme II FrwCBDPtsA,b3949,CPLX-160,frwc,1.0
putative PTS enzyme II FrwCBDPtsA,b3950,CPLX-160,frwb,1.0
putative PTS enzyme II FrwCBDPtsA,b3953,CPLX-160,frwd,1.0
putative PTS enzyme II FrwCBDPtsA,b3947,CPLX-160,frwa,1.0
L-glutamine&mdash;D-fructose-6-phosphate aminotransferase,b3729,L-GLN-FRUCT-6-P-AMINOTRANS-CPLX,glms,2.0
glucose-6-phosphate isomerase,b4025,CPLX0-7877,pgi,2.0
cyclic pyranopterin monophosphate synthase,b0783,CPLX-8331,moac,6.0
isochorismate synthase MenF,b2265,MENF-CPLX,yfba,2.0
RcsB-BglJ DNA-binding transcriptional activator,b4366,CPLX0-7916,yjjr,1.0
RcsB-BglJ DNA-binding transcriptional activator,b2217,CPLX0-7916,rcsb,1.0
D-arabinose 5-phosphate isomerase KdsD,b3197,CPLX0-1262,kdsd,4.0
nitrate reductase A,b1224,NITRATREDUCTA-CPLX,chlc,2.0
nitrate reductase A,b1224,NITRATREDUCTA-CPLX,chlc,2.0
nitrate reductase A,b1227,NITRATREDUCTA-CPLX,chli,2.0
Grx4-BolA complex,b0435,CPLX0-7942,bola,1.0
Grx4-BolA complex,b1654,CPLX0-7942,ydhd,1.0
oligoribonuclease,b4162,CPLX0-1821,yjer,2.0
4-amino-4-deoxychorismate synthase,b1812,PABASYN-CPLX,para-aminobenzoate synthase component i,1.0
4-amino-4-deoxychorismate synthase,b3360,PABASYN-CPLX,para-aminobenzoate synthase glutamine amidotransferase component ii,1.0
multidrug efflux pump EmrE / betaine:H<sup>+</sup> antiporter / choline:H<sup>+</sup> antiporter,b0543,CPLX0-7963,mvrc,2.0
tripartite efflux pump EmrKY-TolC,b3035,CPLX0-2161,weea,3.0
tripartite efflux pump EmrKY-TolC,b2368,CPLX0-2161,emrk,1.0
tripartite efflux pump EmrKY-TolC,b2367,CPLX0-2161,emry,1.0
pyridoxine 5'-phosphate oxidase,b1638,PDXH-CPLX,pdxh,2.0
PaaF-PaaG hydratase-isomerase complex,b1394,CPLX0-7988,ydbt,6.0
PaaF-PaaG hydratase-isomerase complex,b1392,CPLX0-7988,ydbr,6.0
"tryptophan synthase, &beta; subunit dimer",b1261,CPLX0-2401,trpb,2.0
dTDP-glucose pyrophosphorylase,b3789,CPLX0-8012,yifg,4.0
protein MoaB,b0782,CPLX0-2521,moab,6.0
phosphoserine/phosphohydroxythreonine aminotransferase,b0907,PSERTRANSAM-CPLX,serc,2.0
negative regulator of MalT activity/cystathionine &beta;-lyase,b1622,CPLX0-8092,maly,2.0
"protease IV, a signal peptide peptidase",b1766,CPLX0-2941,sppa,4.0
ribonucleoside-diphosphate reductase 2,b2675,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,nrde,2.0
ribonucleoside-diphosphate reductase 2,b2676,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,ygad,2.0
phosphate signaling protein PhoU,b3724,CPLX0-8113,pst,2.0
putative quinol monooxygenase YgiN,b3029,CPLX0-3141,ygin,2.0
assimilatory sulfite reductase (NADPH),b2764,SULFITE-REDUCT-CPLX,cysj,8.0
assimilatory sulfite reductase (NADPH),b2763,SULFITE-REDUCT-CPLX,cysi,4.0
putrescine aminotransferase,b3073,CPLX0-8159,pata,2.0
ATP-dependent RNA helicase RhlB,b3778,CPLX0-3541,mmra,2.0
triose-phosphate isomerase,b3919,TPI,tpi,2.0
nonspecific DNA-binding protein YbiB,b0800,CPLX0-8184,ybib,2.0
"DNA polymerase III, preinitiation complex",b0470,CPLX0-3801,dnaz,3.0
"DNA polymerase III, preinitiation complex",b1099,CPLX0-3801,holb,1.0
"DNA polymerase III, preinitiation complex",b0640,CPLX0-3801,hola,1.0
acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase,b0181,UDPNACETYLGLUCOSAMACYLTRANS-CPLX,lpxa,3.0
UTP&mdash;glucose-1-phosphate uridylyltransferase,b1236,CPLX0-8205,galu,4.0
ATP-dependent DNA helicase Rep,b3778,CPLX0-3931,mmra,2.0
HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor,b3083,CPLX0-8230,ygjn,4.0
HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor,b3082,CPLX0-8230,higa,4.0
50S ribosomal subunit protein L7/L12 dimer,b3986,CPLX0-3955,rpll,2.0
D-alanyl-D-alanine carboxypeptidase DacC,b0839,CPLX0-8254,dacc,2.0
IS2 insertion element repressor InsA,b0360,CPLX0-7417,insc-1,2.0
3-isopropylmalate dehydrogenase,b0073,3-ISOPROPYLMALDEHYDROG-CPLX,leub,2.0
murein lipoprotein,b1677,CPLX0-8279,mlpa,3.0
xylulokinase,b3564,CPLX0-7466,xylb,2.0
D-galactose / methyl-&beta;-D-galactoside ABC transporter,b2149,ABC-18-CPLX,mgla,1.0
D-galactose / methyl-&beta;-D-galactoside ABC transporter,b2148,ABC-18-CPLX,mglc,2.0
D-galactose / methyl-&beta;-D-galactoside ABC transporter,b2150,ABC-18-CPLX,mglb,1.0
ubiquinone biosynthesis complex UbiUV,b3159,CPLX0-8308,ubiv,1.0
ubiquinone biosynthesis complex UbiUV,b3158,CPLX0-8308,ubiu,1.0
putative xanthine dehydrogenase,b2866,CPLX0-761,yges,1.0
putative xanthine dehydrogenase,b2867,CPLX0-761,xdhb,1.0
putative xanthine dehydrogenase,b2868,CPLX0-761,ygeu,1.0
xylose ABC transporter,b3567,ABC-33-CPLX,xylg,1.0
xylose ABC transporter,b3568,ABC-33-CPLX,xylh,2.0
xylose ABC transporter,b3566,ABC-33-CPLX,xylt,1.0
cytochrome <i>bd</i>-I ubiquinol oxidase,b0733,CYT-D-UBIOX-CPLX,cyda,1.0
cytochrome <i>bd</i>-I ubiquinol oxidase,b0734,CYT-D-UBIOX-CPLX,cydb,1.0
cytochrome <i>bd</i>-I ubiquinol oxidase,b4515,CYT-D-UBIOX-CPLX,cydx,1.0
L-fucose isomerase,b2802,CPLX0-7631,fuci,6.0
aliphatic sulfonate ABC transporter,b0936,ABC-56-CPLX,ssua,1.0
aliphatic sulfonate ABC transporter,b0934,ABC-56-CPLX,ssuc,2.0
aliphatic sulfonate ABC transporter,b0933,ABC-56-CPLX,ssub,2.0
dihydroorotase,b1062,DIHYDROOROT-CPLX,pyrc,2.0
<i>N</i>-acetylneuraminate mutarotase,b4310,CPLX0-7658,yjht,2.0
acetohydroxybutanoate synthase,b3769,ACETOLACTSYNII-CPLX,ilvm,1.0
L-ascorbate specific PTS enzyme II,b4195,EIISGA,ulac,1.0
L-ascorbate specific PTS enzyme II,b4194,EIISGA,ulab,1.0
L-ascorbate specific PTS enzyme II,b4193,EIISGA,ulaa,2.0
hypoxanthine phosphoribosyltransferase,b0125,CPLX0-7685,hpt,4.0
<i>S</i>-(hydroxymethyl)glutathione dehydrogenase,b1241,ADHC-CPLX,adhc,2.0
"fatty acid oxidation complex, &alpha; component",b3846,FADB-CPLX,oldb,2.0
glutamate-putrescine ligase,b1297,CPLX0-7709,ycjk,12.0
anthranilate synthase,b1264,ANTHRANSYN-CPLX,tryd,2.0
anthranilate synthase,b1263,ANTHRANSYN-CPLX,trpd,2.0
fumarase C,b1611,FUMARASE-C,fumc,4.0
tRNA pseudouridine<sup>38-40</sup> synthase,b2318,CPLX0-7728,leuk,2.0
aspartate-semialdehyde dehydrogenase,b3433,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,dap,2.0
glutamate synthase,b3212,GLUTAMATESYN-DIMER,ossb,1.0
glutamate synthase,b3212,GLUTAMATESYN-DIMER,ossb,1.0
DNA-binding transcriptional dual regulator MetR,b3828,CPLX0-7759,metr,2.0
ATP synthase F<sub>0</sub> complex - subunit b,b3736,ATPF-CPLX,uncf,2.0
glyoxalase I,b1651,GLYOXI-CPLX,gloa,2.0
putative multidrug efflux pump MdtNOP,b4080,CPLX0-7807,mdtp,1.0
putative multidrug efflux pump MdtNOP,b4081,CPLX0-7807,mdto,1.0
putative multidrug efflux pump MdtNOP,b4082,CPLX0-7807,mdtn,1.0
fused chorismate mutase/prephenate dehydrogenase,b2600,CHORISMUTPREPHENDEHYDROG-CPLX,tyra,2.0
holo-[acyl-carrier-protein] synthase,b2563,HOLO-ACP-SYNTH-CPLX,acps,2.0
phosphoenolpyruvate synthetase regulatory protein,b1703,CPLX0-7837,ppsr,4.0
N-acetylglucosamine-specific PTS enzyme II,b0679,CPLX-167,ptsn,2.0
low-specificity L-threonine aldolase,b0870,LTAA-CPLX,ltaa,4.0
"1,4-dihydroxy-2-naphthoyl-CoA synthase",b2262,CPLX0-7882,menb,6.0
primosomal protein DnaT,b4362,CPLX0-0,dnat,3.0
"5,10-methylenetetrahydrofolate reductase",b3941,METHYLENETHFREDUCT-CPLX,metf,4.0
